17(51409173, 79888389) 25(47639865, 82191855) | 54(19998273, 92871561, '10')
0(62799237, 71283573) 2(36285687, 87797727) | 3(27346833, 90979353, '10')
0(62809929, 71274879) 8(25225551, 91590759) | 11(8295651, 94638141, '10')
3(51410155, 79889915) 4(47640775, 82193425) | 9(19998655, 92873335, '10')
1(59853183, 73776687) 4(30985467, 89807037) | 7(5459043, 94845147, '10')
0(62810671, 71275721) 2(25225849, 91591841) | 3(8295749, 94639259, '10')
12(58471425, 74876625) 34(41349195, 85531635) | 53(24818445, 91703115, '10')
0(66351957, 67991637) 31(10674573, 94400733) | 34(1950963, 94982307, '10')
0(65438043, 68872467) 5(17356107, 93404067) | 7(8402073, 94630647, '10')
2(62800895, 71285455) 15(36286645, 87800045) | 22(27347555, 90981755, '10')
1(61286207, 72591887) 4(51770593, 79657937) | 7(43856617, 84274423, '10')
2(62811413, 71276563) 22(25226147, 91592923) | 31(8295847, 94640377, '10')
1(51411137, 79891441) 2(47641685, 82194995) | 5(19999037, 92875109, '10')
1(62812155, 71277405) 7(25226445, 91594005) | 10(8295945, 94641495, '10')
15(56920975, 76065025) 36(40843975, 85776775) | 57(19881775, 92901025, '10')
0(65163987, 69134283) 9(16347393, 93587697) | 11(797067, 95001363, '10')
0(62802553, 71287337) 5(36287603, 87802363) | 7(27348277, 90984157, '10')
0(62812897, 71278247) 2(25226743, 91595087) | 3(8296043, 94642613, '10')
1(51412119, 79892967) 2(47642595, 82196565) | 5(19999419, 92876883, '10')
0(65440177, 68874713) 5(17356673, 93407113) | 7(8402347, 94633733, '10')
13(49422525, 81139245) 15(46412673, 82897689) | 30(9145527, 94564911, '10')
2(66383289, 67966623) 29(42592077, 84924189) | 31(41324625, 85548105, '10')
0(62813639, 71279089) 2(25227041, 91596169) | 3(8296141, 94643731, '10')
1(61288809, 72594969) 3(51772791, 79661319) | 4(43858479, 84278001, '10')
1(51413101, 79894493) 2(47643505, 82198135) | 5(19999801, 92878657, '10')
0(62814381, 71279931) 7(25227339, 91597251) | 10(8296239, 94644849, '10')
1(62804211, 71289219) 8(36288561, 87804681) | 9(27348999, 90986559, '10')
2(63429125, 70734275) 6(47310665, 82391095) | 8(41812165, 85313155, '10')
1(62815123, 71280773) 7(25227637, 91598333) | 10(8296337, 94645967, '10')
0(65442311, 68876959) 16(17357239, 93410159) | 20(8402621, 94636819, '10')
5(51414083, 79896019) 6(47644415, 82199705) | 16(20000183, 92880431, '10')
1(63884579, 70325101) 13(22811789, 92230589) | 14(9390821, 94544549, '10')
1(62815865, 71281615) 7(25227935, 91599415) | 10(8296435, 94647085, '10')
0(62805869, 71291101) 5(36289519, 87806999) | 7(27349721, 90988961, '10')
0(60963923, 72872989) 1(57308489, 75781327) | 5(49873105, 80868695, '10')
0(61291411, 72598051) 1(51774989, 79664701) | 2(43860341, 84281579, '10')
0(62816607, 71282457) 2(25228233, 91600497) | 3(8296533, 94648203, '10')
0(62860189, 71244091) 1(54419059, 77882539) | 2(48982399, 81411599, '10')
10(51415065, 79897545) 11(47645325, 82201275) | 26(20000565, 92882205, '10')
1(65444445, 68879205) 54(17357805, 93413205) | 62(8402895, 94639905, '10')
0(62817349, 71283299) 2(25228531, 91601579) | 3(8296631, 94649321, '10')
0(64779581, 69505717) 12(36612155, 87675475) | 14(31986319, 89466833, '10')
4(51416047, 79899071) 7(47646235, 82202845) | 17(20000947, 92883979, '10')
0(62807527, 71292983) 7(36290477, 87809317) | 9(27350443, 90991363, '10')
1(62818091, 71284141) 7(25228829, 91602661) | 10(8296729, 94650439, '10')
2(61252335, 72635265) 4(56706615, 76237065) | 7(49534065, 81080865, '10')
0(62818833, 71284983) 7(25229127, 91603743) | 10(8296827, 94651557, '10')
5(52028137, 79503809) 6(50073835, 80748955) | 11(26465537, 91254359, '10')
19(51417029, 79900597) 23(47647145, 82204415) | 53(20001329, 92885753, '10')
1(61537329, 72395001) 2(44703729, 83841849) | 3(35655669, 88071291, '10')
0(61294013, 72601133) 1(51777187, 79668083) | 2(43862203, 84285157, '10')
0(65446579, 68881451) 5(17358371, 93416251) | 7(8403169, 94642991, '10')
0(62809185, 71294865) 4(36291435, 87811635) | 7(27351165, 90993765, '10')
16(62819575, 71285825) 116(25229425, 91604825) | 159(8296925, 94652675, '10')
6(51418011, 79902123) 7(47648055, 82205985) | 17(20001711, 92887527, '10')
0(62820317, 71286667) 2(25229723, 91605907) | 3(8297023, 94653793, '10')
3(65172653, 69143477) 47(16349567, 93600143) | 59(797173, 95013997, '10')
0(62821059, 71287509) 2(25230021, 91606989) | 3(8297121, 94654911, '10')
0(62810843, 71296747) 2(36292393, 87813953) | 3(27351887, 90996167, '10')
0(65448713, 68883697) 5(17358937, 93419297) | 7(8403443, 94646077, '10')
1(51418993, 79903649) 2(47648965, 82207555) | 5(20002093, 92889301, '10')
0(62821801, 71288351) 4(25230319, 91608071) | 6(8297219, 94656029, '10')
3(61296615, 72604215) 9(51779385, 79671465) | 13(43864065, 84288735, '10')
2(63891205, 70332395) 37(22814155, 92240155) | 45(9391795, 94554355, '10')
10(60165015, 73545585) 19(51577485, 79803165) | 30(42019935, 85223865, '10')
2(62822543, 71289193) 21(25230617, 91609153) | 30(8297317, 94657147, '10')
3(51419975, 79905175) 4(47649875, 82209125) | 11(20002475, 92891075, '10')
3(62812501, 71298629) 15(36293351, 87816271) | 21(27352609, 90998569, '10')
3(62823285, 71290035) 24(25230915, 91610235) | 32(8297415, 94658265, '10')
0(65450847, 68885943) 5(17359503, 93422343) | 7(8403717, 94649163, '10')
1(51420957, 79906701) 2(47650785, 82210695) | 5(20002857, 92892849, '10')
1(62824027, 71290877) 7(25231213, 91611317) | 10(8297513, 94659383, '10')
14(58819643, 74629099) 26(51430049, 79901207) | 44(39876985, 86250095, '10')
0(62814159, 71300511) 2(36294309, 87818589) | 3(27353331, 91000971, '10')
0(61299217, 72607297) 2(51781583, 79674847) | 4(43865927, 84292313, '10')
0(62824769, 71291719) 2(25231511, 91612399) | 3(8297611, 94660501, '10')
5(51421939, 79908227) 7(47651695, 82212265) | 16(20003239, 92894623, '10')
1(62825511, 71292561) 7(25231809, 91613481) | 10(8297709, 94661619, '10')
0(65452981, 68888189) 5(17360069, 93425389) | 7(8403991, 94652249, '10')
8(56678069, 76271867) 19(36159515, 87876565) | 34(2239069, 94998883, '10')
1(62815817, 71302393) 7(36295267, 87820907) | 10(27354053, 91003373, '10')
7(51422921, 79909753) 8(47652605, 82213835) | 17(20003621, 92896397, '10')
0(62826253, 71293403) 2(25232107, 91614563) | 3(8297807, 94662737, '10')
3(64376945, 69896495) 23(24113905, 91915345) | 31(14522945, 93909505, '10')
3(55824707, 76899437) 5(41884193, 85297337) | 7(18860617, 93135377, '10')
1(62826995, 71294245) 7(25232405, 91615645) | 10(8297905, 94663855, '10')
0(61301819, 72610379) 1(51783781, 79678229) | 2(43867789, 84295891, '10')
1(51423903, 79911279) 2(47653515, 82215405) | 5(20004003, 92898171, '10')
3(65455115, 68890435) 53(17360635, 93428435) | 65(8404265, 94655335, '10')
0(62827737, 71295087) 2(25232703, 91616727) | 3(8298003, 94664973, '10')
2(62817475, 71304275) 27(36296225, 87823225) | 39(27354775, 91005775, '10')
15(57991285, 75282515) 50(34614283, 88500269) | 88(6776033, 94786769, '10')
0(62828479, 71295929) 7(25233001, 91617809) | 10(8298101, 94666091, '10')
3(51424885, 79912805) 4(47654425, 82216975) | 9(20004385, 92899945, '10')
0(63897831, 70339689) 4(22816521, 92249721) | 5(9392769, 94564161, '10')
0(65181319, 69152671) 2(16351741, 93612589) | 3(797279, 95026631, '10')
1(62829221, 71296771) 25(25233299, 91618891) | 34(8298199, 94667209, '10')
3(62819133, 71306157) 17(36297183, 87825543) | 22(27355497, 91008177, '10')
0(65457249, 68892681) 19(17361201, 93431481) | 21(8404539, 94658421, '10')
57(51425867, 79914331) 72(47655335, 82218545) | 159(20004767, 92901719, '10')
2(61304421, 72613461) 4(51785979, 79681611) | 7(43869651, 84299469, '10')
0(62829963, 71297613) 2(25233597, 91619973) | 3(8298297, 94668327, '10')
1(62830705, 71298455) 7(25233895, 91621055) | 10(8298395, 94669445, '10')
2(63445275, 70752285) 12(47322711, 82412073) | 15(41822811, 85334877, '10')
0(55689877, 77005787) 2(48754463, 81573623) | 4(31027943, 89824943, '10')
6(51426849, 79915857) 10(47656245, 82220115) | 18(20005149, 92903493, '10')
0(62820791, 71308039) 2(36298141, 87827861) | 3(27356219, 91010579, '10')
1(61549027, 72408763) 6(44712227, 83857787) | 7(35662447, 88088033, '10')
0(62831447, 71299297) 2(25234193, 91622137) | 3(8298493, 94670563, '10')
0(65459383, 68894927) 5(17361767, 93434527) | 7(8404813, 94661507, '10')
1(62832189, 71300139) 7(25234491, 91623219) | 10(8298591, 94671681, '10')
6(51427831, 79917383) 7(47657155, 82221685) | 16(20005531, 92905267, '10')
0(61307023, 72616543) 1(51788177, 79684993) | 2(43871513, 84303047, '10')
1(62822449, 71309921) 5(36299099, 87830179) | 7(27356941, 91012981, '10')
1(62832931, 71300981) 8(25234789, 91624301) | 10(8298689, 94672799, '10')
1(51428813, 79918909) 2(47658065, 82223255) | 5(20005913, 92907041, '10')
1(62833673, 71301823) 7(25235087, 91625383) | 10(8298787, 94673917, '10')
1(65461517, 68897173) 19(17362333, 93437573) | 22(8405087, 94664593, '10')
6(52294893, 79355451) 8(47335449, 82409943) | 18(21433125, 92588685, '10')
4(62834415, 71302665) 23(25235385, 91626465) | 31(8298885, 94675035, '10')
1(62824107, 71311803) 6(36300057, 87832497) | 8(27357663, 91015383, '10')
3(51429795, 79920435) 4(47658975, 82224825) | 9(20006295, 92908815, '10')
1(62835157, 71303507) 15(25235683, 91627547) | 21(8298983, 94676153, '10')
2(63904457, 70346983) 13(22818887, 92259287) | 15(9393743, 94573967, '10')
28(61309625, 72619625) 67(51790375, 79688375) | 93(43873375, 84306625, '10')
2(65463651, 68899419) 40(17362899, 93440619) | 44(8405361, 94667679, '10')
11(51430777, 79921961) 16(47659885, 82226395) | 34(20006677, 92910589, '10')
0(66867793, 67537777) 21(7346893, 94755877) | 23(2991997, 94993163, '10')
1(62835899, 71304349) 7(25235981, 91628629) | 10(8299081, 94677271, '10')
0(62825765, 71313685) 4(36301015, 87834815) | 7(27358385, 91017785, '10')
4(62836641, 71305191) 24(25236279, 91629711) | 31(8299179, 94678389, '10')
6(51431759, 79923487) 7(47660795, 82227965) | 17(20007059, 92912363, '10')
1(62837383, 71306033) 8(25236577, 91630793) | 10(8299277, 94679507, '10')
0(65189985, 69161865) 26(16353915, 93625035) | 35(797385, 95039265, '10')
0(62827423, 71315567) 2(36301973, 87837133) | 3(27359107, 91020187, '10')
2(65465785, 68901665) 55(17363465, 93443665) | 65(8405635, 94670765, '10')
0(61312227, 72622707) 1(51792573, 79691757) | 2(43875237, 84310203, '10')
3(62838125, 71306875) 24(25236875, 91631875) | 32(8299375, 94680625, '10')
5(51432741, 79925013) 7(47661705, 82229535) | 16(20007441, 92914137, '10')
2(62838867, 71307717) 25(25237173, 91632957) | 32(8299473, 94681743, '10')
17(52979225, 78909665) 27(45601939, 83390627) | 54(19224161, 93080423, '10')
12(50313699, 80636157) 14(47544255, 82299465) | 31(16586001, 93587193, '10')
1(62829081, 71317449) 5(36302931, 87839451) | 6(27359829, 91022589, '10')
4(51433723, 79926539) 6(47662615, 82231105) | 12(20007823, 92915911, '10')
1(62839609, 71308559) 7(25237471, 91634039) | 10(8299571, 94682861, '10')
0(65467919, 68903911) 15(17364031, 93446711) | 20(8405909, 94673851, '10')
0(62840351, 71309401) 2(25237769, 91635121) | 3(8299669, 94683979, '10')
1(61314829, 72625789) 4(51794771, 79695139) | 7(43877099, 84313781, '10')
28(51434705, 79928065) 34(47663525, 82232675) | 77(20008205, 92917685, '10')
0(62830739, 71319331) 5(36303889, 87841769) | 7(27360551, 91024991, '10')
0(62841093, 71310243) 2(25238067, 91636203) | 3(8299767, 94685097, '10')
1(63911083, 70354277) 13(22821253, 92268853) | 15(9394717, 94583773, '10')
2(63492221, 70732571) 8(51809069, 79688011) | 11(46885631, 82680689, '10')
1(62841835, 71311085) 7(25238365, 91637285) | 10(8299865, 94686215, '10')
1(51435687, 79929591) 2(47664435, 82234245) | 5(20008587, 92919459, '10')
1(65470053, 68906157) 49(17364597, 93449757) | 61(8406183, 94676937, '10')
0(62842577, 71311927) 7(25238663, 91638367) | 10(8299963, 94687333, '10')
1(62832397, 71321213) 5(36304847, 87844087) | 7(27361273, 91027393, '10')
1(62886551, 71273969) 3(54441881, 77915201) | 5(49002941, 81445741, '10')
1(51436669, 79931117) 2(47665345, 82235815) | 5(20008969, 92921233, '10')
13(61560725, 72422525) 43(44720725, 83873725) | 60(35669225, 88104775, '10')
1(61317431, 72628871) 4(51796969, 79698521) | 7(43878961, 84317359, '10')
0(62843319, 71312769) 4(25238961, 91639449) | 6(8300061, 94688451, '10')
5(61030731, 72870483) 25(31733067, 89598381) | 38(14639295, 93917775, '10')
0(65472187, 68908403) 5(17365163, 93452803) | 7(8406457, 94680023, '10')
1(62844061, 71313611) 7(25239259, 91640531) | 10(8300159, 94689569, '10')
6(51437651, 79932643) 7(47666255, 82237385) | 16(20009351, 92923007, '10')
0(62834055, 71323095) 4(36305805, 87846405) | 7(27361995, 91029795, '10')
0(60991341, 72905763) 1(57334263, 75815409) | 5(49895535, 80905065, '10')
1(62844803, 71314453) 7(25239557, 91641613) | 10(8300257, 94690687, '10')
1(51438633, 79934169) 2(47667165, 82238955) | 5(20009733, 92924781, '10')
1(62845545, 71315295) 7(25239855, 91642695) | 10(8300355, 94691805, '10')
1(65198651, 69171059) 9(16356089, 93637481) | 11(797491, 95051899, '10')
2(61320033, 72631953) 4(51799167, 79701903) | 6(43880823, 84320937, '10')
0(65474321, 68910649) 5(17365729, 93455849) | 7(8406731, 94683109, '10')
1(62835713, 71324977) 5(36306763, 87848723) | 7(27362717, 91032197, '10')
1(62846287, 71316137) 16(25240153, 91643777) | 21(8300453, 94692923, '10')
