6(8117212, 12613916) 7(7522060, 12977620) | 17(3157612, 14663884, '10')
0(9915669, 11255301) 2(5729319, 13862799) | 3(4317921, 14365161, '10')
1(9917572, 11254172) 8(3983068, 14462012) | 10(1309868, 14943188, '10')
1(9715189, 11429341) 2(7057589, 13236509) | 3(5629129, 13904231, '10')
0(9676838, 11461958) 1(8174362, 12577658) | 2(6924778, 13306582, '10')
1(8117703, 12614679) 2(7522515, 12978405) | 5(3157803, 14664771, '10')
0(9917943, 11254593) 2(3983217, 14462553) | 3(1309917, 14943747, '10')
0(10332828, 10875132) 15(2740572, 14748732) | 20(1326708, 14942412, '10')
1(9916498, 11256242) 8(5729798, 13863958) | 9(4318282, 14366362, '10')
0(9918314, 11255014) 2(3983366, 14463094) | 3(1309966, 14944306, '10')
0(9925293, 11249067) 1(8592483, 12297243) | 2(7734063, 12854463, '10')
4(8118194, 12615442) 7(7522970, 12979190) | 17(3157994, 14665658, '10')
1(9918685, 11255435) 7(3983515, 14463635) | 10(1310015, 14944865, '10')
5(8214969, 12553233) 6(7906395, 12749835) | 11(4178769, 14408583, '10')
1(10163639, 11035049) 23(3807031, 14511319) | 28(2292839, 14826151, '10')
2(9917327, 11257183) 6(5730277, 13865117) | 7(4318643, 14367563, '10')
1(9678139, 11463499) 4(8175461, 12579349) | 6(6925709, 13308371, '10')
3(8118685, 12616205) 4(7523425, 12979975) | 9(3158185, 14666545, '10')
1(9919056, 11255856) 7(3983664, 14464176) | 10(1310064, 14945424, '10')
5(10333895, 10876255) 109(2740855, 14750255) | 126(1326845, 14943955, '10')
2(10088085, 11105115) 37(3602235, 14564235) | 45(1482915, 14929635, '10')
0(9919427, 11256277) 7(3983813, 14464717) | 10(1310113, 14945983, '10')
6(9860131, 11308333) 47(3989833, 14463119) | 67(768545, 14983655, '10')
0(10290875, 10917875) 22(2581625, 14779625) | 27(125875, 15002875, '10')
18(8119176, 12616968) 23(7523880, 12980760) | 53(3158376, 14667432, '10')
1(9918156, 11258124) 6(5730756, 13866276) | 8(4319004, 14368764, '10')
1(9919798, 11256698) 15(3983962, 14465258) | 20(1310162, 14946542, '10')
