0(41328111, 43497159) 5(10961439, 58990359) | 7(5306421, 59765019, '10')
6(39669175, 45015425) 39(15931825, 57846425) | 53(5239325, 59771075, '10')
0(38706051, 45846291) 1(32696349, 50308941) | 2(27698181, 53224539, '10')
1(32469339, 50456427) 2(30088695, 51911265) | 5(12630639, 58656423, '10')
0(39669917, 45016267) 7(15932123, 57847507) | 10(5239423, 59772193, '10')
0(39663505, 45022145) 4(22917755, 55452355) | 7(17272045, 57461845, '10')
0(39670659, 45017109) 13(15932421, 57848589) | 18(5239521, 59773311, '10')
6(32470321, 50457953) 7(30089605, 51912835) | 16(12631021, 58658197, '10')
1(41330245, 43499405) 36(10962005, 58993405) | 43(5306695, 59768105, '10')
0(39671401, 45017951) 7(15932719, 57849671) | 10(5239619, 59774429, '10')
2(39665163, 45024027) 19(22918713, 55454673) | 23(17272767, 57464247, '10')
2(38708653, 45849373) 4(32698547, 50312323) | 7(27700043, 53228117, '10')
20(32471303, 50459479) 24(30090515, 51914405) | 52(12631403, 58659971, '10')
3(40060075, 44673805) 11(29880103, 52035929) | 15(26407403, 53881421, '10')
1(39672143, 45018793) 15(15933017, 57850753) | 21(5239717, 59775547, '10')
4(39672885, 45019635) 22(15933315, 57851835) | 31(5239815, 59776665, '10')
0(41332379, 43501651) 17(10962571, 58996451) | 20(5306969, 59771191, '10')
10(32472285, 50461005) 12(30091425, 51915975) | 26(12631785, 58661745, '10')
0(39666821, 45025909) 2(22919671, 55456991) | 3(17273489, 57466649, '10')
1(39673627, 45020477) 7(15933613, 57852917) | 10(5239913, 59777783, '10')
0(41159167, 43666903) 2(10325413, 59112277) | 3(503447, 60005183, '10')
8(38684647, 45873673) 15(35813743, 48148433) | 21(31283833, 51207593, '10')
1(40349027, 44416813) 12(14407757, 58252157) | 15(5931173, 59713637, '10')
1(39674369, 45021319) 7(15933911, 57853999) | 10(5240011, 59778901, '10')
5(32473267, 50462531) 8(30092335, 51917545) | 17(12632167, 58663519, '10')
3(38711255, 45852455) 8(32700745, 50315705) | 13(27701905, 53231695, '10')
0(39668479, 45027791) 4(22920629, 55459309) | 6(17274211, 57469051, '10')
1(39675111, 45022161) 7(15934209, 57855081) | 10(5240109, 59780019, '10')
2(37996959, 46447401) 5(32573541, 50399349) | 10(26537511, 53822769, '10')
2(41334513, 43503897) 54(10963137, 58999497) | 63(5307243, 59774277, '10')
1(32474249, 50464057) 2(30093245, 51919115) | 5(12632549, 58665293, '10')
1(39675853, 45023003) 8(15934507, 57856163) | 10(5240207, 59781137, '10')
2(38866605, 45724245) 9(28234605, 52954005) | 11(22519905, 55625295, '10')
8(39676595, 45023845) 71(15934805, 57857245) | 96(5240305, 59782255, '10')
2(39670137, 45029673) 19(22921587, 55461627) | 25(17274933, 57471453, '10')
6(32475231, 50465583) 7(30094155, 51920685) | 17(12632931, 58667067, '10')
2(38713857, 45855537) 9(32702943, 50319087) | 14(27703767, 53235273, '10')
0(41336647, 43506143) 5(10963703, 59002543) | 7(5307517, 59777363, '10')
3(39677337, 45024687) 22(15935103, 57858327) | 31(5240403, 59783373, '10')
29(33022655, 50110585) 39(29890915, 52039405) | 85(13534375, 58466975, '10')
1(32476213, 50467109) 2(30095065, 51922255) | 5(12633313, 58668841, '10')
1(39678079, 45025529) 7(15935401, 57859409) | 10(5240501, 59784491, '10')
4(39671795, 45031555) 17(22922545, 55463945) | 21(17275655, 57473855, '10')
2(38508581, 46031083) 3(36199583, 47868169) | 8(31502935, 51081665, '10')
2(39678821, 45026371) 23(15935699, 57860491) | 32(5240599, 59785609, '10')
10(32477195, 50468635) 13(30095975, 51923825) | 27(12633695, 58670615, '10')
2(41338781, 43508389) 39(10964269, 59005589) | 44(5307791, 59780449, '10')
0(39679563, 45027213) 2(15935997, 57861573) | 3(5240697, 59786727, '10')
15(37314325, 47006525) 53(23440375, 55249625) | 83(11866925, 58831525, '10')
0(38716459, 45858619) 1(32705141, 50322469) | 2(27705629, 53238851, '10')
10(30994677, 51393717) 13(29346327, 52352433) | 28(4569993, 59842287, '10')
0(39673453, 45033437) 5(22923503, 55466263) | 7(17276377, 57476257, '10')
1(39680305, 45028055) 7(15936295, 57862655) | 10(5240795, 59787845, '10')
18(32478177, 50470161) 23(30096885, 51925395) | 52(12634077, 58672389, '10')
2(40355653, 44424107) 38(14410123, 58261723) | 46(5932147, 59723443, '10')
0(39681047, 45028897) 8(15936593, 57863737) | 11(5240893, 59788963, '10')
4(41340915, 43510635) 53(10964835, 59008635) | 65(5308065, 59783535, '10')
19(32479159, 50471687) 24(30097795, 51926965) | 51(12634459, 58674163, '10')
0(39675111, 45035319) 2(22924461, 55468581) | 3(17277099, 57478659, '10')
4(39681789, 45029739) 23(15936891, 57864819) | 31(5240991, 59790081, '10')
0(41167833, 43676097) 2(10327587, 59124723) | 3(503553, 60017817, '10')
1(39682531, 45030581) 7(15937189, 57865901) | 10(5241089, 59791199, '10')
1(38719061, 45861701) 4(32707339, 50325851) | 5(27707491, 53242429, '10')
6(32480141, 50473213) 10(30098705, 51928535) | 18(12634841, 58675937, '10')
0(39683273, 45031423) 2(15937487, 57866983) | 3(5241187, 59792317, '10')
0(39676769, 45037201) 7(22925419, 55470899) | 9(17277821, 57481061, '10')
0(41343049, 43512881) 5(10965401, 59011681) | 7(5308339, 59786621, '10')
6(38369751, 46156143) 24(24047607, 54993999) | 35(15786435, 57908685, '10')
5(33928937, 49512623) 10(26480987, 53864923) | 21(7146967, 59595247, '10')
1(32481123, 50474739) 2(30099615, 51930105) | 5(12635223, 58677711, '10')
4(39684015, 45032265) 23(15937785, 57868065) | 31(5241285, 59793435, '10')
0(41010165, 43828155) 18(16447725, 57725325) | 20(12287835, 58751595, '10')
0(39684757, 45033107) 7(15938083, 57869147) | 10(5241383, 59794553, '10')
0(39678427, 45039083) 4(22926377, 55473217) | 6(17278543, 57483463, '10')
10(32482105, 50476265) 13(30100525, 51931675) | 27(12635605, 58679485, '10')
0(38721663, 45864783) 1(32709537, 50329233) | 2(27709353, 53246007, '10')
0(41345183, 43515127) 19(10965967, 59014727) | 21(5308613, 59789707, '10')
2(39685499, 45033949) 23(15938381, 57870229) | 30(5241481, 59795671, '10')
1(40665403, 44151973) 7(15232187, 58060763) | 11(9173803, 59320427, '10')
3(39686241, 45034791) 23(15938679, 57871311) | 31(5241579, 59796789, '10')
6(32483087, 50477791) 7(30101435, 51933245) | 16(12635987, 58681259, '10')
0(39680085, 45040965) 4(22927335, 55475535) | 7(17279265, 57485865, '10')
1(32861709, 50232861) 3(27687051, 53260299) | 7(6696909, 59652189, '10')
0(39714353, 45011207) 1(34381343, 49205303) | 2(30946523, 51434923, '10')
0(40362279, 44431401) 4(14412489, 58271289) | 5(5933121, 59733249, '10')
0(39686983, 45035633) 2(15938977, 57872393) | 3(5241677, 59797907, '10')
0(41347317, 43517373) 18(10966533, 59017773) | 21(5308887, 59792793, '10')
1(32484069, 50479317) 2(30102345, 51934815) | 5(12636369, 58683033, '10')
4(39687725, 45036475) 38(15939275, 57873475) | 52(5241775, 59799025, '10')
1(38724265, 45867865) 5(32711735, 50332615) | 11(27711215, 53249585, '10')
3(40076225, 44691815) 11(29892149, 52056907) | 16(26418049, 53903143, '10')
2(38878303, 45738007) 9(28243103, 52969943) | 11(22526683, 55642037, '10')
0(39681743, 45042847) 7(22928293, 55477853) | 9(17279987, 57488267, '10')
0(39688467, 45037317) 12(15939573, 57874557) | 17(5241873, 59800143, '10')
5(32485051, 50480843) 6(30103255, 51936385) | 16(12636751, 58684807, '10')
0(39689209, 45038159) 2(15939871, 57875639) | 3(5241971, 59801261, '10')
0(41349451, 43519619) 12(10967099, 59020819) | 14(5309161, 59795879, '10')
1(39683401, 45044729) 5(22929251, 55480171) | 7(17280709, 57490669, '10')
1(39689951, 45039001) 15(15940169, 57876721) | 20(5242069, 59802379, '10')
6(32486033, 50482369) 7(30104165, 51937955) | 17(12637133, 58686581, '10')
19(32872495, 50232215) 23(31637725, 51018925) | 47(16721495, 57656465, '10')
24(34134555, 49383555) 48(25388259, 54399813) | 102(2789241, 59967687, '10')
0(41176499, 43685291) 27(10329761, 59137169) | 35(503659, 60030451, '10')
1(38726867, 45870947) 4(32713933, 50335997) | 7(27713077, 53253163, '10')
0(39690693, 45039843) 2(15940467, 57877803) | 3(5242167, 59803497, '10')
11(32487015, 50483895) 13(30105075, 51939525) | 28(12637515, 58688355, '10')
3(39691435, 45040685) 21(15940765, 57878885) | 30(5242265, 59804615, '10')
1(39685059, 45046611) 8(22930209, 55482489) | 9(17281431, 57493071, '10')
1(41351585, 43521865) 57(10967665, 59023865) | 64(5309435, 59798965, '10')
0(39692177, 45041527) 8(15941063, 57879967) | 11(5242363, 59805733, '10')
6(32487997, 50485421) 7(30105985, 51941095) | 17(12637897, 58690129, '10')
1(39692919, 45042369) 7(15941361, 57881049) | 10(5242461, 59806851, '10')
0(38729469, 45874029) 1(32716131, 50339379) | 2(27714939, 53256741, '10')
0(39686717, 45048493) 7(22931167, 55484807) | 9(17282153, 57495473, '10')
3(40368905, 44438695) 37(14414855, 58280855) | 46(5934095, 59743055, '10')
6(32488979, 50486947) 10(30106895, 51942665) | 18(12638279, 58691903, '10')
1(39693661, 45043211) 7(15941659, 57882131) | 10(5242559, 59807969, '10')
0(41353719, 43524111) 5(10968231, 59026911) | 7(5309709, 59802051, '10')
31(30592829, 51658747) 34(29925905, 52047935) | 86(5404379, 59794147, '10')
1(39694403, 45044053) 7(15941957, 57883213) | 10(5242657, 59809087, '10')
7(32489961, 50488473) 8(30107805, 51944235) | 17(12638661, 58693677, '10')
1(39688375, 45050375) 13(22932125, 55487125) | 18(17282875, 57497875, '10')
1(39695145, 45044895) 7(15942255, 57884295) | 10(5242755, 59810205, '10')
0(41355853, 43526357) 16(10968797, 59029957) | 20(5309983, 59805137, '10')
1(39695887, 45045737) 7(15942553, 57885377) | 10(5242853, 59811323, '10')
1(38732071, 45877111) 4(32718329, 50342761) | 6(27716801, 53260319, '10')
5(32490943, 50489999) 6(30108715, 51945805) | 16(12639043, 58695451, '10')
0(39690033, 45052257) 2(22933083, 55489443) | 3(17283597, 57500277, '10')
1(39696629, 45046579) 7(15942851, 57886459) | 10(5242951, 59812441, '10')
3(32491925, 50491525) 4(30109625, 51947375) | 11(12639425, 58697225, '10')
1(39697371, 45047421) 7(15943149, 57887541) | 10(5243049, 59813559, '10')
0(41357987, 43528603) 5(10969363, 59033003) | 7(5310257, 59808223, '10')
0(39698113, 45048263) 8(15943447, 57888623) | 11(5243147, 59814677, '10')
3(39691691, 45054139) 17(22934041, 55491761) | 22(17284319, 57502679, '10')
1(32492907, 50493051) 2(30110535, 51948945) | 5(12639807, 58698999, '10')
0(38734673, 45880193) 1(32720527, 50346143) | 2(27718663, 53263897, '10')
2(39698855, 45049105) 23(15943745, 57889705) | 32(5243245, 59815795, '10')
1(41185165, 43694485) 28(10331935, 59149615) | 35(503765, 60043085, '10')
9(33470125, 49851925) 14(28809455, 52682815) | 30(12145045, 58804435, '10')
1(32493889, 50494577) 2(30111445, 51950515) | 5(12640189, 58700773, '10')
2(39699597, 45049947) 24(15944043, 57890787) | 32(5243343, 59816913, '10')
1(41360121, 43530849) 18(10969929, 59036049) | 22(5310531, 59811309, '10')
0(39693349, 45056021) 7(22934999, 55494079) | 9(17285041, 57505081, '10')
1(40375531, 44445989) 12(14417221, 58290421) | 16(5935069, 59752861, '10')
6(38890001, 45751769) 27(28251601, 52985881) | 37(22533461, 55658779, '10')
0(39700339, 45050789) 2(15944341, 57891869) | 3(5243441, 59818031, '10')
33(32494871, 50496103) 40(30112355, 51952085) | 88(12640571, 58702547, '10')
4(40104075, 44692725) 22(31537275, 51099675) | 26(28285125, 52969125, '10')
0(39701081, 45051631) 7(15944639, 57892951) | 10(5243539, 59819149, '10')
5(38737275, 45883275) 15(32722725, 50349525) | 22(27720525, 53267475, '10')
0(39695007, 45057903) 2(22935957, 55496397) | 3(17285763, 57507483, '10')
7(38022265, 46478335) 18(32595235, 50432915) | 30(26555185, 53858615, '10')
0(39701823, 45052473) 2(15944937, 57894033) | 3(5243637, 59820267, '10')
2(41362255, 43533095) 58(10970495, 59039095) | 66(5310805, 59814395, '10')
4(41343575, 43551025) 41(26529265, 53871895) | 47(24700235, 54734645, '10')
19(32495853, 50497629) 20(30113265, 51953655) | 50(12640953, 58704321, '10')
2(39702565, 45053315) 23(15945235, 57895115) | 32(5243735, 59821385, '10')
1(41197063, 43691041) 4(36894475, 47380405) | 5(35430887, 48484609, '10')
11(32496835, 50499155) 14(30114175, 51955225) | 28(12641335, 58706095, '10')
9(39696665, 45059785) 54(22936915, 55498715) | 67(17286485, 57509885, '10')
0(39703307, 45054157) 2(15945533, 57896197) | 3(5243833, 59822503, '10')
0(38739877, 45886357) 1(32724923, 50352907) | 2(27722387, 53271053, '10')
0(41364389, 43535341) 5(10971061, 59042141) | 7(5311079, 59817481, '10')
0(39704049, 45054999) 2(15945831, 57897279) | 3(5243931, 59823621, '10')
2(40092375, 44709825) 6(29904195, 52077885) | 8(26428695, 53924865, '10')
1(32497817, 50500681) 2(30115085, 51956795) | 5(12641717, 58707869, '10')
0(39704791, 45055841) 7(15946129, 57898361) | 10(5244029, 59824739, '10')
1(39698323, 45061667) 5(22937873, 55501033) | 7(17287207, 57512287, '10')
1(39705533, 45056683) 7(15946427, 57899443) | 10(5244127, 59825857, '10')
1(32498799, 50502207) 2(30115995, 51958365) | 5(12642099, 58709643, '10')
0(41366523, 43537587) 5(10971627, 59045187) | 7(5311353, 59820567, '10')
2(39706275, 45057525) 12(15946725, 57900525) | 17(5244225, 59826975, '10')
3(39699981, 45063549) 16(22938831, 55503351) | 22(17287929, 57514689, '10')
0(40382157, 44453283) 7(14419587, 58299987) | 8(5936043, 59762667, '10')
0(38742479, 45889439) 1(32727121, 50356289) | 3(27724249, 53274631, '10')
1(32499781, 50503733) 2(30116905, 51959935) | 5(12642481, 58711417, '10')
4(38535999, 46063857) 6(36225357, 47902251) | 12(31525365, 51118035, '10')
0(39707017, 45058367) 2(15947023, 57901607) | 3(5244323, 59828093, '10')
1(40687097, 44175527) 7(15240313, 58091737) | 11(9178697, 59352073, '10')
0(41193831, 43703679) 9(10334109, 59162061) | 11(503871, 60055719, '10')
3(39707759, 45059209) 23(15947321, 57902689) | 32(5244421, 59829211, '10')
20(36293075, 47852675) 61(22181575, 55812575) | 113(2382575, 60011575, '10')
12(32500763, 50505259) 14(30117815, 51961505) | 33(12642863, 58713191, '10')
1(41368657, 43539833) 18(10972193, 59048233) | 22(5311627, 59823653, '10')
1(39701639, 45065431) 7(22939789, 55505669) | 10(17288651, 57517091, '10')
0(39708501, 45060051) 7(15947619, 57903771) | 10(5244519, 59830329, '10')
0(41245803, 43657803) 2(20062413, 56610243) | 3(17323587, 57507507, '10')
3(32501745, 50506785) 4(30118725, 51963075) | 9(12643245, 58714965, '10')
0(38745081, 45892521) 1(32729319, 50359671) | 2(27726111, 53278209, '10')
0(39709243, 45060893) 7(15947917, 57904853) | 10(5244617, 59831447, '10')
6(31244125, 51294925) 7(29341345, 52406585) | 17(5781655, 59782415, '10')
0(39703297, 45067313) 2(22940747, 55507987) | 3(17289373, 57519493, '10')
1(39709985, 45061735) 7(15948215, 57905935) | 10(5244715, 59832565, '10')
0(41370791, 43542079) 18(10972759, 59051279) | 21(5311901, 59826739, '10')
19(32502727, 50508311) 24(30119635, 51964645) | 51(12643627, 58716739, '10')
2(41304549, 43605771) 20(18189039, 57242361) | 22(15269001, 58089471, '10')
0(39710727, 45062577) 2(15948513, 57907017) | 3(5244813, 59833683, '10')
0(39711469, 45063419) 4(15948811, 57908099) | 6(5244911, 59834801, '10')
0(39704955, 45069195) 4(22941705, 55510305) | 7(17290095, 57521895, '10')
6(32503709, 50509837) 8(30120545, 51966215) | 17(12644009, 58718513, '10')
16(38300093, 46269301) 79(20879495, 56318665) | 113(9948757, 59234851, '10')
4(38747683, 45895603) 10(32731517, 50363053) | 12(27727973, 53281787, '10')
1(38901699, 45765531) 2(28260099, 53001819) | 3(22540239, 55675521, '10')
1(41372925, 43544325) 29(10973325, 59054325) | 35(5312175, 59829825, '10')
1(40123127, 44698577) 4(32740103, 50357857) | 5(29628797, 52249043, '10')
0(39712211, 45064261) 7(15949109, 57909181) | 10(5245009, 59835919, '10')
1(32504691, 50511363) 2(30121455, 51967785) | 5(12644391, 58720287, '10')
0(39712953, 45065103) 2(15949407, 57910263) | 3(5245107, 59837037, '10')
1(40388783, 44460577) 12(14421953, 58309553) | 16(5937017, 59772473, '10')
0(39706613, 45071077) 2(22942663, 55512623) | 3(17290817, 57524297, '10')
0(39740715, 45041085) 1(34404165, 49237965) | 2(30967065, 51469065, '10')
1(39713695, 45065945) 7(15949705, 57911345) | 10(5245205, 59838155, '10')
3(37843897, 46647433) 14(19591453, 56783083) | 22(3451637, 59968573, '10')
5(32505673, 50512889) 8(30122365, 51969355) | 17(12644773, 58722061, '10')
3(41375059, 43546571) 35(10973891, 59057371) | 43(5312449, 59832911, '10')
2(38724101, 45920459) 3(35850269, 48197539) | 6(31315739, 51259819, '10')
0(39714437, 45066787) 7(15950003, 57912427) | 10(5245303, 59839273, '10')
2(38750285, 45898685) 8(32733715, 50366435) | 13(27729835, 53285365, '10')
1(39708271, 45072959) 7(22943621, 55514941) | 10(17291539, 57526699, '10')
1(39715179, 45067629) 7(15950301, 57913509) | 10(5245401, 59840391, '10')
11(32506655, 50514415) 12(30123275, 51970925) | 27(12645155, 58723835, '10')
1(41202497, 43712873) 28(10336283, 59174507) | 35(503977, 60068353, '10')
2(36001137, 48087417) 4(30819363, 51562083) | 8(21016047, 56274393, '10')
