2(44723669, 53850317) 3(44677045, 53889005) | 4(39321919, 57912433, '10')
0(48216663, 50747247) 17(12788487, 68822847) | 20(6190893, 69726627, '10')
0(46281137, 52518487) 2(18587303, 67488127) | 3(6112603, 69733573, '10')
3(44323459, 54180901) 6(37997041, 58790849) | 10(30956011, 62784269, '10')
0(48013973, 50939357) 2(12045047, 68957063) | 3(587293, 69998677, '10')
6(37881141, 58866213) 8(35103705, 60563535) | 17(14735841, 68432937, '10')
0(46273951, 52525679) 2(26737301, 64694221) | 3(20150659, 67038619, '10')
0(46281879, 52519329) 2(18587601, 67489209) | 3(6112701, 69734691, '10')
0(46282621, 52520171) 2(18587899, 67490291) | 3(6112799, 69735809, '10')
6(37882123, 58867739) 7(35104615, 60565105) | 17(14736223, 68434711, '10')
0(45159011, 53489651) 2(38147389, 58696301) | 4(32315941, 62097979, '10')
0(48218797, 50749493) 5(12789053, 68825893) | 7(6191167, 69729713, '10')
1(46275609, 52527561) 6(26738259, 64696539) | 8(20151381, 67041021, '10')
1(46283363, 52521013) 7(18588197, 67491373) | 10(6112897, 69736927, '10')
10(37883105, 58869265) 11(35105525, 60566675) | 26(14736605, 68436485, '10')
2(46284105, 52521855) 21(18588495, 67492455) | 30(6112995, 69738045, '10')
2(46284847, 52522697) 25(18588793, 67493537) | 33(6113093, 69739163, '10')
0(46277267, 52529443) 2(26739217, 64698857) | 3(20152103, 67043423, '10')
5(37884087, 58870791) 8(35106435, 60568245) | 17(14736987, 68438259, '10')
0(48220931, 50751739) 5(12789619, 68828939) | 7(6191441, 69732799, '10')
0(45161613, 53492733) 1(38149587, 58699683) | 2(32317803, 62101557, '10')
0(46285589, 52523539) 2(18589091, 67494619) | 3(6113191, 69740281, '10')
1(37885069, 58872317) 2(35107345, 60569815) | 5(14737369, 68440033, '10')
1(46286331, 52524381) 23(18589389, 67495701) | 32(6113289, 69741399, '10')
5(46278925, 52531325) 30(26740175, 64701175) | 37(20152825, 67045825, '10')
0(48341623, 50640017) 3(42491347, 55639997) | 4(41131073, 56652967, '10')
3(47074417, 51820223) 37(16809247, 67961647) | 47(6919783, 69666727, '10')
15(39574535, 57751265) 29(30887285, 62827765) | 62(8336185, 69511585, '10')
4(46287073, 52525223) 24(18589687, 67496783) | 31(6113387, 69742517, '10')
1(48223065, 50753985) 18(12790185, 68831985) | 22(6191715, 69735885, '10')
7(37886051, 58873843) 8(35108255, 60571385) | 17(14737751, 68441807, '10')
3(46287815, 52526065) 24(18589985, 67497865) | 32(6113485, 69743635, '10')
