6(16234424, 25227832) 7(15044120, 25955240) | 17(6315224, 29327768, '10')
0(19831338, 22510602) 2(11458638, 27725598) | 3(8635842, 28730322, '10')
0(19834773, 22507923) 2(7965987, 28923483) | 3(2619687, 29885817, '10')
0(20577417, 21831153) 2(5162163, 29553027) | 3(251697, 29999433, '10')
0(20664589, 21749141) 17(5480861, 29495941) | 20(2653279, 29883281, '10')
29(16234915, 25228595) 36(15044575, 25956025) | 80(6315415, 29328655, '10')
1(19835144, 22508344) 8(7966136, 28924024) | 10(2619736, 29886376, '10')
1(19430378, 22858682) 2(14115178, 26473018) | 3(11258258, 27808462, '10')
0(19353676, 22923916) 1(16348724, 25155316) | 2(13849556, 26613164, '10')
1(20172857, 22206583) 14(7203287, 29123687) | 15(2965343, 29854367, '10')
2(19832167, 22511543) 6(11459117, 27726757) | 7(8636203, 28731523, '10')
11(19835515, 22508765) 114(7966285, 28924565) | 159(2619785, 29886935, '10')
1(16235406, 25229358) 2(15045030, 25956810) | 5(6315606, 29329542, '10')
0(19835886, 22509186) 2(7966434, 28925106) | 3(2619834, 29887494, '10')
0(20665656, 21750264) 15(5481144, 29497464) | 20(2653416, 29884824, '10')
1(19836257, 22509607) 7(7966583, 28925647) | 10(2619883, 29888053, '10')
1(19832996, 22512484) 8(11459596, 27727916) | 9(8636564, 28732724, '10')
6(16235897, 25230121) 8(15045485, 25957595) | 17(6315797, 29330429, '10')
0(19354977, 22925457) 1(16349823, 25157007) | 2(13850487, 26614953, '10')
0(19836628, 22510028) 2(7966732, 28926188) | 3(2619932, 29888612, '10')
0(19850586, 22498134) 1(17184966, 24594486) | 2(15468126, 25708926, '10')
4(16236388, 25230884) 7(15045940, 25958380) | 17(6315988, 29331316, '10')
1(19836999, 22510449) 23(7966881, 28926729) | 32(2619981, 29889171, '10')
5(19833825, 22513425) 30(11460075, 27729075) | 37(8636925, 28733925, '10')
0(20666723, 21751387) 5(5481427, 29498987) | 7(2653553, 29886367, '10')
1(19837370, 22510870) 7(7967030, 28927270) | 10(2620030, 29889730, '10')
7(16236879, 25231647) 8(15046395, 25959165) | 17(6316179, 29332203, '10')
5(16429938, 25106466) 6(15812790, 25499670) | 11(8357538, 28817166, '10')
1(20327278, 22070098) 23(7614062, 29022638) | 28(4585678, 29652302, '10')
1(19837741, 22511291) 7(7967179, 28927811) | 10(2620079, 29890289, '10')
2(19834654, 22514366) 6(11460554, 27730234) | 7(8637286, 28735126, '10')
1(19356278, 22926998) 4(16350922, 25158698) | 6(13851418, 26616742, '10')
3(16237370, 25232410) 4(15046850, 25959950) | 9(6316370, 29333090, '10')
1(19838112, 22511712) 7(7967328, 28928352) | 10(2620128, 29890848, '10')
5(20667790, 21752510) 109(5481710, 29500510) | 126(2653690, 29887910, '10')
0(19838483, 22512133) 2(7967477, 28928893) | 3(2620177, 29891407, '10')
2(20176170, 22210230) 37(7204470, 29128470) | 45(2965830, 29859270, '10')
1(16237861, 25233173) 2(15047305, 25960735) | 5(6316561, 29333977, '10')
1(19835483, 22515307) 5(11461033, 27731393) | 7(8637647, 28736327, '10')
0(19838854, 22512554) 7(7967626, 28929434) | 10(2620226, 29891966, '10')
6(19720262, 22616666) 47(7979666, 28926238) | 67(1537090, 29967310, '10')
0(20581750, 21835750) 22(5163250, 29559250) | 27(251750, 30005750, '10')
0(20668857, 21753633) 5(5481993, 29502033) | 7(2653827, 29889453, '10')
2(19839225, 22512975) 12(7967775, 28929975) | 17(2620275, 29892525, '10')
0(19357579, 22928539) 1(16352021, 25160389) | 2(13852349, 26618531, '10')
18(16238352, 25233936) 23(15047760, 25961520) | 53(6316752, 29334864, '10')
1(19836312, 22516248) 6(11461512, 27732552) | 8(8638008, 28737528, '10')
1(19839596, 22513396) 15(7967924, 28930516) | 20(2620324, 29893084, '10')
1(19692841, 22642199) 7(12096419, 27461861) | 9(9159299, 28575941, '10')
7(16238843, 25234699) 9(15048215, 25962305) | 18(6316943, 29335751, '10')
2(19839967, 22513817) 24(7968073, 28931057) | 32(2620373, 29893643, '10')
1(20034075, 22341405) 3(14943063, 26023209) | 5(13206363, 26946141, '10')
0(20669924, 21754756) 18(5482276, 29503556) | 21(2653964, 29890996, '10')
0(19840338, 22514238) 2(7968222, 28931598) | 3(2620422, 29894202, '10')
0(19837141, 22517189) 4(11461991, 27733711) | 7(8638369, 28738729, '10')
1(16239334, 25235462) 2(15048670, 25963090) | 5(6317134, 29336638, '10')
0(19358880, 22930080) 1(16353120, 25162080) | 3(13853280, 26620320, '10')
0(19840709, 22514659) 2(7968371, 28932139) | 3(2620471, 29894761, '10')
1(19841080, 22515080) 7(7968520, 28932680) | 10(2620520, 29895320, '10')
3(16239825, 25236225) 4(15049125, 25963875) | 11(6317325, 29337525, '10')
1(19436227, 22865563) 2(14119427, 26480987) | 3(11261647, 27816833, '10')
0(20670991, 21755879) 20(5482559, 29505079) | 22(2654101, 29892539, '10')
2(19837970, 22518130) 16(11462470, 27734870) | 21(8638730, 28739930, '10')
