6(24351636, 37841748) 7(22566180, 38932860) | 17(9472836, 43991652, '10')
0(29747007, 33765903) 2(17187957, 41588397) | 3(12953763, 43095483, '10')
2(29751974, 33761674) 24(11948906, 43384954) | 32(3929506, 44828446, '10')
1(30996350, 32623150) 29(8221150, 44243150) | 35(3979850, 44824150, '10')
4(29752345, 33762095) 23(11949055, 43385495) | 31(3929555, 44829005, '10')
5(24352127, 37842511) 6(22566635, 38933645) | 16(9473027, 43992539, '10')
1(29752716, 33762516) 8(11949204, 43386036) | 10(3929604, 44829564, '10')
1(29145567, 34288023) 2(21172767, 39709527) | 3(16887387, 41712693, '10')
0(29747836, 33766844) 2(17188436, 41589556) | 3(12954124, 43096684, '10')
2(25588045, 37019045) 4(19031621, 40779347) | 10(2090879, 44953153, '10')
0(29030514, 34385874) 1(24523086, 37732974) | 2(20774334, 39919746, '10')
1(24352618, 37843274) 2(22567090, 38934430) | 5(9473218, 43993426, '10')
0(29753087, 33762937) 8(11949353, 43386577) | 11(3929653, 44830123, '10')
0(30997417, 32624273) 5(8221433, 44244673) | 7(3979987, 44825693, '10')
0(28494556, 34831684) 2(24427444, 37795316) | 3(19900924, 40362596, '10')
0(29753458, 33763358) 2(11949502, 43387118) | 3(3929702, 44830682, '10')
1(24353109, 37844037) 2(22567545, 38935215) | 5(9473409, 43994313, '10')
1(29748665, 33767785) 15(17188915, 41590715) | 21(12954485, 43097885, '10')
9(25085125, 37362925) 14(21592055, 39484615) | 30(9102445, 44072635, '10')
0(29753829, 33763779) 2(11949651, 43387659) | 3(3929751, 44831241, '10')
0(30998484, 32625396) 15(8221716, 44246196) | 20(3980124, 44827236, '10')
3(24353600, 37844800) 4(22568000, 38936000) | 11(9473600, 43995200, '10')
6(29754200, 33764200) 40(11949800, 43388200) | 53(3929800, 44831800, '10')
0(29031815, 34387415) 1(24524185, 37734665) | 3(20775265, 39921535, '10')
0(30868292, 32749028) 29(7743788, 44332652) | 35(377572, 45002308, '10')
1(29749494, 33768726) 8(17189394, 41591874) | 9(12954846, 43099086, '10')
1(29754571, 33764621) 8(11949949, 43388741) | 10(3929849, 44832359, '10')
1(28577857, 34766303) 4(27093077, 35935427) | 6(23195557, 38566253, '10')
0(30260942, 33311698) 4(10805522, 43687922) | 5(4448258, 44784002, '10')
19(24354091, 37845563) 24(22568455, 38936785) | 52(9473791, 43996087, '10')
0(29754942, 33765042) 2(11950098, 43389282) | 3(3929898, 44832918, '10')
2(30999551, 32626519) 37(8221999, 44247719) | 44(3980261, 44828779, '10')
1(29750323, 33769667) 5(17189873, 41593033) | 7(12955207, 43100287, '10')
0(29775879, 33747201) 1(25777449, 36891729) | 2(23202189, 38563389, '10')
1(29755313, 33765463) 7(11950247, 43389823) | 10(3929947, 44833477, '10')
4(24354582, 37846326) 7(22568910, 38937570) | 17(9473982, 43996974, '10')
0(29077874, 34350946) 7(14917294, 42461566) | 11(7435946, 44387126, '10')
0(29033116, 34388956) 1(24525284, 37736356) | 2(20776196, 39923324, '10')
0(29755684, 33765884) 2(11950396, 43390364) | 3(3929996, 44834036, '10')
1(24355073, 37847089) 2(22569365, 38938355) | 5(9474173, 43997861, '10')
0(29751152, 33770608) 2(17190352, 41594192) | 3(12955568, 43101488, '10')
1(29756055, 33766305) 7(11950545, 43390905) | 10(3930045, 44834595, '10')
4(30047075, 33507605) 20(22411583, 39029569) | 24(19806883, 40413781, '10')
1(31000618, 32627642) 18(8222282, 44249242) | 22(3980398, 44830322, '10')
5(24644907, 37659699) 6(23719185, 38249505) | 11(12536307, 43225749, '10')
4(29756426, 33766726) 23(11950694, 43391446) | 31(3930094, 44835154, '10')
1(30490917, 33105147) 23(11421093, 43533957) | 28(6878517, 44478453, '10')
6(24355564, 37847852) 8(22569820, 38939140) | 17(9474364, 43998748, '10')
0(29756797, 33767147) 2(11950843, 43391987) | 3(3930143, 44835713, '10')
2(29751981, 33771549) 6(17190831, 41595351) | 7(12955929, 43102689, '10')
1(29034417, 34390497) 4(24526383, 37738047) | 6(20777127, 39925113, '10')
0(31037393, 32594497) 5(18861773, 40865077) | 7(17499307, 41466797, '10')
3(24356055, 37848615) 4(22570275, 38939925) | 9(9474555, 43999635, '10')
1(29757168, 33767568) 7(11950992, 43392528) | 10(3930192, 44836272, '10')
5(31001685, 32628765) 109(8222565, 44250765) | 126(3980535, 44831865, '10')
1(29757539, 33767989) 8(11951141, 43393069) | 10(3930241, 44836831, '10')
5(29752810, 33772490) 36(17191310, 41596510) | 45(12956290, 43103890, '10')
5(24356546, 37849378) 8(22570730, 38940710) | 18(9474746, 44000522, '10')
2(30264255, 33315345) 37(10806705, 43692705) | 45(4448745, 44788905, '10')
9(29757910, 33768410) 73(11951290, 43393610) | 97(3930290, 44837390, '10')
0(31002752, 32629888) 5(8222848, 44252288) | 7(3980672, 44833408, '10')
0(29035718, 34392038) 1(24527482, 37739738) | 2(20778058, 39926902, '10')
0(29758281, 33768831) 7(11951439, 43394151) | 10(3930339, 44837949, '10')
5(24357037, 37850141) 7(22571185, 38941495) | 16(9474937, 44001409, '10')
6(29580393, 33924999) 47(11969499, 43389357) | 67(2305635, 44950965, '10')
1(25978639, 36756209) 4(23075449, 38644951) | 7(13943161, 42795991, '10')
0(30872625, 32753625) 22(7744875, 44338875) | 27(377625, 45008625, '10')
0(29753639, 33773431) 5(17191789, 41597669) | 7(12956651, 43105091, '10')
0(29758652, 33769252) 2(11951588, 43394692) | 3(3930388, 44838508, '10')
4(29151416, 34294904) 7(21177016, 39717496) | 11(16890776, 41721064, '10')
18(24357528, 37850904) 23(22571640, 38942280) | 53(9475128, 44002296, '10')
0(29759023, 33769673) 7(11951737, 43395233) | 11(3930437, 44839067, '10')
1(31003819, 32631011) 18(8223131, 44253811) | 23(3980809, 44834951, '10')
1(29754468, 33774372) 6(17192268, 41598828) | 8(12957012, 43106292, '10')
1(29759394, 33770094) 15(11951886, 43395774) | 20(3930486, 44839626, '10')
7(24358019, 37851667) 9(22572095, 38943065) | 18(9475319, 44003183, '10')
1(29037019, 34393579) 4(24528581, 37741429) | 7(20778989, 39928691, '10')
2(29759765, 33770515) 15(11952035, 43396315) | 21(3930535, 44840185, '10')
2(30990310, 32644970) 14(19885802, 40381286) | 15(18514798, 41027986, '10')
0(29760136, 33770936) 7(11952184, 43396856) | 10(3930584, 44840744, '10')
11(24358510, 37852430) 13(22572550, 38943850) | 26(9475510, 44004070, '10')
1(29755297, 33775313) 6(17192747, 41599987) | 8(12957373, 43107493, '10')
0(31004886, 32632134) 18(8223414, 44255334) | 21(3980946, 44836494, '10')
0(29760507, 33771357) 2(11952333, 43397397) | 3(3930633, 44841303, '10')
0(29018417, 34411103) 1(26864873, 36117463) | 2(23466863, 38412223, '10')
1(24359001, 37853193) 2(22573005, 38944635) | 5(9475701, 44004957, '10')
0(29760878, 33771778) 2(11952482, 43397938) | 3(3930682, 44841862, '10')
0(29038320, 34395120) 1(24529680, 37743120) | 3(20779920, 39930480, '10')
0(29756126, 33776254) 5(17193226, 41601146) | 7(12957734, 43108694, '10')
0(30267568, 33318992) 4(10807888, 43697488) | 5(4449232, 44793808, '10')
1(29761249, 33772199) 7(11952631, 43398479) | 10(3930731, 44842421, '10')
0(31005953, 32633257) 5(8223697, 44256857) | 7(3981083, 44838037, '10')
6(24359492, 37853956) 7(22573460, 38945420) | 17(9475892, 44005844, '10')
1(29761620, 33772620) 7(11952780, 43399020) | 10(3930780, 44842980, '10')
2(29756955, 33777195) 16(17193705, 41602305) | 21(12958095, 43109895, '10')
22(27705815, 35479175) 61(19592701, 40527893) | 97(11759851, 43452157, '10')
4(24359983, 37854719) 7(22573915, 38946205) | 16(9476083, 44006731, '10')
0(29761991, 33773041) 6(11952929, 43399561) | 9(3930829, 44843539, '10')
10(29039621, 34396661) 29(24530779, 37744811) | 43(20780851, 39932269, '10')
2(31007020, 32634380) 56(8223980, 44258380) | 65(3981220, 44839580, '10')
0(29762362, 33773462) 2(11953078, 43400102) | 3(3930878, 44844098, '10')
4(24360474, 37855482) 7(22574370, 38946990) | 17(9476274, 44007618, '10')
0(28884863, 34527409) 1(27152909, 35905387) | 5(23630005, 38315795, '10')
0(30876958, 32758222) 9(7745962, 44345098) | 11(377678, 45014942, '10')
0(29757784, 33778136) 7(17194184, 41603464) | 9(12958456, 43111096, '10')
1(28704798, 34677486) 12(15648570, 42209190) | 19(7456302, 44394786, '10')
3(29762733, 33773883) 23(11953227, 43400643) | 32(3930927, 44844657, '10')
0(31440779, 32217739) 9(5058131, 44731651) | 11(924461, 45007229, '10')
0(29763104, 33774304) 7(11953376, 43401184) | 10(3930976, 44845216, '10')
3(24360965, 37856245) 4(22574825, 38947775) | 9(9476465, 44008505, '10')
1(31008087, 32635503) 19(8224263, 44259903) | 22(3981357, 44841123, '10')
