0(16528792, 18756392) 8(6638248, 24102632) | 11(2183048, 24904568, '10')
0(16526115, 18758835) 4(9548865, 23104665) | 7(7196535, 23941935, '10')
0(17168651, 18172651) 2(8351021, 23564131) | 3(7210979, 23937619, '10')
0(16810162, 18504878) 4(6002542, 24268942) | 5(2471038, 24877822, '10')
0(17220313, 18124097) 5(4567337, 24579697) | 7(2211043, 24902477, '10')
0(16116959, 19112081) 1(14920871, 20059801) | 2(13033601, 21334321, '10')
1(13529014, 21023702) 2(12537070, 21629890) | 5(5262814, 24440398, '10')
0(16529163, 18756813) 2(6638397, 24103173) | 3(2183097, 24905127, '10')
7(16691025, 18613335) 35(12449541, 21680763) | 45(11002641, 22449687, '10')
0(16529534, 18757234) 8(6638546, 24103714) | 11(2183146, 24905686, '10')
0(17243908, 18102788) 6(3947548, 24687652) | 7(635492, 24993188, '10')
2(16526944, 18759776) 6(9549344, 23105824) | 7(7196896, 23943136, '10')
3(13529505, 21024465) 4(12537525, 21630675) | 9(5263005, 24441285, '10')
0(16128497, 19103777) 1(13624303, 20963327) | 2(11541607, 22178233, '10')
1(16529905, 18757655) 7(6638695, 24104255) | 10(2183195, 24906245, '10')
1(15975848, 19231912) 4(7624232, 23811032) | 7(899752, 24985688, '10')
0(17468068, 17887588) 1(14955052, 20036108) | 2(14705012, 20220332, '10')
2(17221380, 18125220) 54(4567620, 24581220) | 65(2211180, 24904020, '10')
0(16530276, 18758076) 2(6638844, 24104796) | 3(2183244, 24906804, '10')
1(13529996, 21025228) 2(12537980, 21631460) | 5(5263196, 24442172, '10')
2(16527773, 18760717) 6(9549823, 23106983) | 7(7197257, 23944337, '10')
2(15752282, 19416698) 13(8154818, 23635598) | 22(1436722, 24961538, '10')
3(16530647, 18758497) 23(6638993, 24105337) | 32(2183293, 24907363, '10')
0(16542155, 18748445) 1(14320805, 20495405) | 2(12890105, 21424105, '10')
18(13530487, 21025991) 24(12538435, 21632245) | 54(5263387, 24443059, '10')
0(16531018, 18758918) 2(6639142, 24105878) | 3(2183342, 24907922, '10')
1(17222447, 18126343) 18(4567903, 24582743) | 22(2211317, 24905563, '10')
0(17150014, 18194926) 2(4302346, 24630634) | 3(209774, 25002686, '10')
0(16129798, 19105318) 1(13625402, 20965018) | 2(11542538, 22180022, '10')
6(13691615, 20922055) 7(13177325, 21249725) | 15(6964615, 24014305, '10')
0(16528602, 18761658) 2(9550302, 23108142) | 3(7197618, 23945538, '10')
0(16531389, 18759339) 2(6639291, 24106419) | 3(2183391, 24908481, '10')
1(13530978, 21026754) 2(12538890, 21633030) | 5(5263578, 24443946, '10')
2(16531760, 18759760) 22(6639440, 24106960) | 31(2183440, 24909040, '10')
1(17223514, 18127466) 18(4568186, 24584266) | 23(2211454, 24907106, '10')
0(16532131, 18760181) 2(6639589, 24107501) | 3(2183489, 24909599, '10')
1(13531469, 21027517) 2(12539345, 21633815) | 5(5263769, 24444833, '10')
0(16529431, 18762599) 4(9550781, 23109301) | 6(7197979, 23946739, '10')
5(16813475, 18508525) 62(6003725, 24273725) | 76(2471525, 24882725, '10')
0(16532502, 18760602) 7(6639738, 24108042) | 10(2183538, 24910158, '10')
0(16131099, 19106859) 2(13626501, 20966709) | 4(11543469, 22181811, '10')
29(13531960, 21028280) 34(12539800, 21634600) | 78(5263960, 24445720, '10')
0(16532873, 18761023) 2(6639887, 24108583) | 3(2183587, 24910717, '10')
2(16530260, 18763540) 16(9551260, 23110460) | 22(7198340, 23947940, '10')
1(17224581, 18128589) 19(4568469, 24585789) | 22(2211591, 24908649, '10')
3(16533244, 18761444) 23(6640036, 24109124) | 32(2183636, 24911276, '10')
3(16195881, 19053489) 7(11765481, 22066161) | 12(9384141, 23179299, '10')
1(13532451, 21029043) 2(12540255, 21635385) | 5(5264151, 24446607, '10')
